Ref,Description,Manufacturer,MPN,DigiKey,Qty,UnitPriceUSD,ExtUSD,Notes
U1,STM32H743ZIT6,STMicroelectronics,STM32H743ZIT6,497-17345-ND,1,18.50,18.50,LQFP-144 main MCU
U3,16-bit DAC AD5547 parallel,Analog Devices,AD5547BRUZ,AD5547BRUZ-ND,1,11.20,11.20,multiplying DAC
U6,3.3V LDO 1A TLV75733,TI,TLV75733PDBVR,296-39867-1-ND,1,0.85,0.85,SOT-23-5
U7,1.2V buck TPS62740,TI,TPS62740DSST,296-30144-1-ND,1,2.30,2.30,300mA
U8,USB power switch TPS2051,TI,TPS2051BDBVR,296-12010-1-ND,1,1.45,1.45,500mA OC
Y1,25 MHz HSE crystal,Abracon,ABM3-25.000MHZ-D2Y-T,535-9905-1-ND,1,0.95,0.95,SMD
F1,Polyfuse 1A,Littelfuse,1812L100THYR,F4189CT-ND,1,0.55,0.55,
D1,TVS SMAJ5.0A,Littelfuse,SMAJ5.0A,SMAJ5.0ALFCT-ND,1,0.30,0.30,
J1,USB-C receptacle,Amphenol,12401610E4,2073-12401610E4-ND,1,1.40,1.40,SMT
J2,Cortex SWD 10-pin,Samtec,FTSH-105-01-L-DV-K-S,SAM10866-ND,1,2.85,2.85,
J3,USB-A host,Wurth,61400416121,732-2670-ND,1,1.85,1.85,DXA scanner port
J5,microSD slot,Hirose,DM3AT-SF-PEJM5,HR1957CT-ND,1,2.10,2.10,push-push
J6,TFT FFC 40-pin 0.5mm,JST,FH12-40S-0.5SH(55),H10488CT-ND,1,1.95,1.95,LCD ribbon
J7,UART 4-pin 2.54mm,Sullins,PPTC041LFBN-RC,S7037-ND,1,0.45,0.45,
LCD,5" TFT 800x480 RGB,Newhaven,NHD-5.0-800480TF-ATXL,NHD-5.0-800480TF-ATXL-ND,1,52.00,52.00,with backlight
C_DECAP_100N,100nF X7R 0402 ×40,Murata,GCM155R71H104KE02D,490-9837-1-ND,40,0.04,1.60,
C_BULK_10U,10uF X5R 0805 ×10,Murata,GRM21BR61E106KA73L,490-3340-1-ND,10,0.18,1.80,
C_XTAL_18P,18pF C0G 0402 ×2,Yageo,CC0402JRNPO9BN180,311-1027-1-ND,2,0.05,0.10,
R_PASSIVE,Various 0402 ×30,Yageo,kit RC0402,RHM10KCRTR-ND,30,0.02,0.60,
PCB,4-layer ENIG 100x80mm,JLCPCB,4L-FR4-1.6mm,N/A,1,18.00,18.00,
ASSEMBLY,JLCPCB SMT assy 1-side,JLCPCB,N/A,N/A,1,32.00,32.00,~70 placements
,,,,,,Subtotal,151.20,
,,,,,,Tax(8%),12.10,
,,,,,,Shipping,15.00,
,,,,,,TOTAL_BOARD,178.30,one-off prototype
,,,,,,QTY_5_DISCOUNT,133.73,~25% volume break (qty 5)
