Ref,Description,Manufacturer,MPN,DigiKey,Qty,UnitPriceUSD,ExtUSD,Notes
U1,Zynq US+ XCZU7EV-2FFVC1156I,Xilinx,XCZU7EV-2FFVC1156I,122-2099-ND,1,1295.00,1295.00,FBGA-1156 main FPGA
U2,HDMI level translator PI3HDX12211,Diodes Inc,PI3HDX12211BZBEX,PI3HDX12211BZBEX-ND,1,5.85,5.85,4-channel TMDS
U3,HDMI TX ITE IT66121FN,ITE,IT66121FN,N/A,1,8.45,8.45,via Mouser/digikey
U4,DDR4-2400 8Gb x8 ×4,Micron,MT40A1G8SA-062E:E,557-1944-1-ND,4,9.20,36.80,1GB total per chip
U5,16-bit ADC AD9265 105MSPS,Analog Devices,AD9265BCPZ-105,AD9265BCPZ-105-ND,1,28.50,28.50,LFCSP-48
U6,multi-rail buck LM5118 + Tx,TI,LM5118MH/NOPB,296-21495-1-ND,1,11.50,11.50,wide Vin
U7,LDO 5V isolated TPS7A4501,TI,TPS7A4501DCQR,296-25889-1-ND,1,3.40,3.40,for OCXO
U8,Level shifter TXS0108E,TI,TXS0108EPWR,296-21923-1-ND,1,2.10,2.10,HPD bidir
Y1,200 MHz OCXO Wenzel,Wenzel Associates,500-26648-A,via mfr,1,485.00,485.00,1ppb stability
F1,5A polyfuse,Littelfuse,1812L500THYR,F4193CT-ND,1,0.95,0.95,reset 1.4A
D1,TVS SMBJ12A,Littelfuse,SMBJ12A,SMBJ12ALFCT-ND,1,0.45,0.45,600W
J1,12V DC barrel 5.5/2.1mm,CUI,PJ-002AH-SMT-TR,CP-002AH-SMT-CT-ND,1,1.20,1.20,SMT
J2,HDMI Type-A receptacle,Amphenol,HDMI-A-SMT,2073-HDMI-A-SMT-ND,1,2.80,2.80,SMT R/A
J3,HDMI Type-A receptacle,Amphenol,HDMI-A-SMT,2073-HDMI-A-SMT-ND,1,2.80,2.80,SMT R/A (TX)
J4,RJ45 GigE w/ magnetics,Halo,HFJ11-1G01ER-L12,HFJ11-1G01ER-L12-ND,1,5.40,5.40,
J5,microSD slot,Hirose,DM3AT-SF-PEJM5,HR1957CT-ND,1,2.10,2.10,push-push
J6,JTAG 14-pin Xilinx,Samtec,FTSH-107-01-L-DV-K,SAM10869-ND,1,3.85,3.85,2x7 1.27mm
J7,USB-A host,Wurth,61400416121,732-2670-ND,1,1.85,1.85,
J8,SMA pair,Cinch,142-0701-201,J512-ND,2,2.40,4.80,200 MHz ref I/O
C_DECAP_22U,22uF X5R 1210 ×16,Murata,GRM32ER61E226KE15L,490-7222-1-ND,16,0.45,7.20,VCCINT bulk
C_DECAP_100N,100nF X7R 0402 ×120,Murata,GCM155R71H104KE02D,490-9837-1-ND,120,0.04,4.80,per-pin
C_DECAP_4U7,4.7uF X5R 0805 ×24,Murata,GRM219R61E475KA12D,490-3902-1-ND,24,0.18,4.32,BGA underside
C_DDR_TT,VTT term TPS51200 + caps,TI,TPS51200DRCR,296-23708-1-ND,4,2.85,11.40,DDR4 termination
L_FERRITE,BLM41PG471SN1L 470Ω@100MHz ×8,Murata,BLM41PG471SN1L,490-1080-1-ND,8,0.55,4.40,π-filter
R_PASSIVE,Various 0402 1% ×80,Yageo,kit RC0402,RHM10KCRTR-ND,80,0.02,1.60,
PCB,8-layer ENIG 200x130mm,JLCPCB,8L-FR4-1.6mm,N/A,1,135.00,135.00,5pc panel
ASSEMBLY,JLCPCB SMT assy 1-side w/ BGA,JLCPCB,N/A,N/A,1,180.00,180.00,setup + ~250 placements
,,,,,,Subtotal,2249.07,
,,,,,,Tax(8%),179.93,
,,,,,,Shipping,35.00,
,,,,,,TOTAL_BOARD,2464.00,one-off prototype
,,,,,,QTY_5_DISCOUNT,1849.00,~25% volume break (qty 5)
