Ref,Description,Manufacturer,MPN,DigiKey,Qty,UnitPriceUSD,ExtUSD,Notes
U1,STM32H743ZIT6 480MHz Cortex-M7 2MB,STMicroelectronics,STM32H743ZIT6,497-17345-ND,1,18.50,18.50,LQFP-144 main MCU
U2,GPS NMEA module ublox NEO-M8N,u-blox,NEO-M8N-0-10,2199-NEO-M8N-0-10-ND,1,29.40,29.40,1 PPS output enabled
U3,12-bit ADC parallel ADS7886,Texas Instruments,ADS7886SDBVR,296-22085-1-ND,1,4.85,4.85,1 MSPS SAR
U4,16-bit DAC AD5547 parallel,Analog Devices,AD5547BRUZ,AD5547BRUZ-ND,1,11.20,11.20,multiplying DAC
U5,RS-485 transceiver MAX3485,Maxim,MAX3485ESA+T,MAX3485ESA+T-ND,1,3.95,3.95,3.3V slew-limited
U6,3.3V LDO 1A TLV75733,TI,TLV75733PDBVR,296-39867-1-ND,1,0.85,0.85,SOT-23-5
U7,1.2V buck TPS62740,TI,TPS62740DSST,296-30144-1-ND,1,2.30,2.30,300mA ultra-low-Iq
Y1,25 MHz HSE crystal 18pF,Abracon,ABM3-25.000MHZ-D2Y-T,535-9905-1-ND,1,0.95,0.95,SMD 5x3.2mm
F1,Polyfuse 1A,Littelfuse,1812L100THYR,F4189CT-ND,1,0.55,0.55,reset 250mA
D1,TVS SMAJ5.0A,Littelfuse,SMAJ5.0A,SMAJ5.0ALFCT-ND,1,0.30,0.30,400W ESD
J1,USB-C receptacle 24-pin,Amphenol,12401610E4,2073-12401610E4-ND,1,1.40,1.40,SMT mid-mount
J2,ARM Cortex SWD 10-pin 1.27mm,Samtec,FTSH-105-01-L-DV-K-S,SAM10866-ND,1,2.85,2.85,Tag-Connect compatible footprint
J3,CR2032 battery holder,Keystone,1066,36-1066-ND,1,1.10,1.10,SMD vertical
J4,GPS UART 6-pin 2.54mm,Sullins,PPTC061LFBN-RC,S7039-ND,1,0.60,0.60,female header
J5,Sensor parallel 26-pin 2.54mm,Samtec,TSW-113-07-G-D,SAM1078-13-ND,1,3.85,3.85,2x13 male
J6,DAC + RS485 24-pin 2.54mm,Samtec,TSW-112-07-G-D,SAM1078-12-ND,1,3.55,3.55,2x12 male
C_DECAP_100N,100nF X7R 0402 ×40,Murata,GCM155R71H104KE02D,490-9837-1-ND,40,0.04,1.60,per-pin decap
C_BULK_10U,10uF X5R 0805 ×8,Murata,GRM21BR61E106KA73L,490-3340-1-ND,8,0.18,1.44,bulk decap
C_XTAL_18P,18pF C0G 0402 ×2,Yageo,CC0402JRNPO9BN180,311-1027-1-ND,2,0.05,0.10,crystal load
L_FERRITE,BLM18PG471SN1D 470Ω@100MHz,Murata,BLM18PG471SN1D,490-1075-1-ND,1,0.45,0.45,analog isolation
R_PASSIVE,Various 0402 1% ×30,Yageo,kit RC0402,RHM10KCRTR-ND,30,0.02,0.60,pull-up/series
PCB,4-layer ENIG 100x80mm,JLCPCB,4L-FR4-1.6mm,N/A,1,18.00,18.00,5pc panel min order
ASSEMBLY,JLCPCB SMT assy 1-side,JLCPCB,N/A,N/A,1,28.00,28.00,setup + ~50 placements
,,,,,,Subtotal,107.94,
,,,,,,Tax(8%),8.64,
,,,,,,Shipping,15.00,
,,,,,,TOTAL_BOARD,131.58,one-off prototype
,,,,,,QTY_5_DISCOUNT,98.69,~25% volume break (qty 5)
